MaSP	TenSP	GTSP	BH		GiaTien
D001 	test1 	nam 		12 		1000.00
D002 	test2 	nu 		24 		2000.00
D001 	test1 	nam 		12 		1000.00
D002 	test2 	nu 		24 		2000.00
D001 	test1 	nam 		12 		1000.00
D002 	test2 	nu 		24 		2000.00
D001 	test1 	nam 		12 		1000.00
D002 	test2 	nu 		24 		2000.00
D001 	test1 	nam 		12 		1000.00
D002 	test2 	nu 		24 		2000.00
D001 	test1 	nam 		12 		1000.00
D002 	test2 	nu 		24 		2000.00
D001 	test1 	nam 		12 		1000.00
D002 	test2 	nu 		24 		2000.00
D001 	test1 	nam 		12 		1000.00
D002 	test2 	nu 		24 		2000.00
D001 	test1 	nam 		12 		1000.00
D002 	test2 	nu 		24 		2000.00
D001 	test1 	nam 		12 		1000.00
D002 	test2 	nu 		24 		2000.00
D001 	test1 	nam 		12 		1000.00
D002 	test2 	nu 		24 		2000.00
D001 	test1 	nam 		12 		1000.00
D002 	test2 	nu 		24 		2000.00
D001 	test1 	nam 		12 		1000.00
D002 	test2 	nu 		24 		2000.00
D001 	test1 	nam 		12 		1000.00
D002 	test2 	nu 		24 		2000.00
D001 	test1 	nam 		12 		1000.00
D002 	test2 	nu 		24 		2000.00
D001 	test1 	nam 		12 		1000.00
D002 	test2 	nu 		24 		2000.00
D001 	test1 	nam 		12 		1000.00
D002 	test2 	nu 		24 		2000.00
D001 	test1 	nam 		12 		1000.00
D002 	test2 	nu 		24 		2000.00
D001 	test1 	nam 		12 		1000.00
D002 	test2 	nu 		24 		2000.00
D001 	test1 	nam 		12 		1000.00
D002 	test2 	nu 		24 		2000.00
D001 	test1 	nam 		12 		1000.00
D002 	test2 	nu 		24 		2000.00
D001 	test1 	nam 		12 		1000.00
D002 	test2 	nu 		24 		2000.00
D001 	test1 	nam 		12 		1000.00
D002 	test2 	nu 		24 		2000.00
D001 	test1 	nam 		12 		1000.00
D002 	test2 	nu 		24 		2000.00
D001 	test1 	nam 		12 		1000.00
D002 	test2 	nu 		24 		2000.00
D001 	test1 	nam 		12 		1000.00
D002 	test2 	nu 		24 		2000.00
D001 	test1 	nam 		12 		1000.00
D002 	test2 	nu 		24 		2000.00
D001 	test1 	nam 		12 		1000.00
D002 	test2 	nu 		24 		2000.00
D001 	test1 	nam 		12 		1000.00
D002 	test2 	nu 		24 		2000.00
D001 	test1 	nam 		12 		1000.00
D002 	test2 	nu 		24 		2000.00
D001 	test1 	nam 		12 		1000.00
D002 	test2 	nu 		24 		2000.00
D001 	test1 	nam 		12 		1000.00
D002 	test2 	nu 		24 		2000.00
D001 	test1 	nam 		12 		1000.00
D002 	test2 	nu 		24 		2000.00
D001 	test1 	nam 		12 		1000.00
D002 	test2 	nu 		24 		2000.00
D001 	test1 	nam 		12 		1000.00
D002 	test2 	nu 		24 		2000.00
D001 	test1 	nam 		12 		1000.00
D002 	test2 	nu 		24 		2000.00
D001 	test1 	nam 		12 		1000.00
D002 	test2 	nu 		24 		2000.00
D001 	test1 	nam 		12 		1000.00
D002 	test2 	nu 		24 		2000.00
D001 	test1 	nam 		12 		1000.00
D002 	test2 	nu 		24 		2000.00
D001 	test1 	nam 		12 		1000.00
D002 	test2 	nu 		24 		2000.00
D001 	test1 	nam 		12 		1000.00
D002 	test2 	nu 		24 		2000.00
D001 	test1 	nam 		12 		1000.00
D002 	test2 	nu 		24 		2000.00
D001 	test1 	nam 		12 		1000.00
D002 	test2 	nu 		24 		2000.00
D001 	test1 	nam 		12 		1000.00
D002 	test2 	nu 		24 		2000.00
D001 	test1 	nam 		12 		1000.00
D002 	test2 	nu 		24 		2000.00
D001 	test1 	nam 		12 		1000.00
D002 	test2 	nu 		24 		2000.00
D001 	test1 	nam 		12 		1000.00
D002 	test2 	nu 		24 		2000.00
D001 	test1 	nam 		12 		1000.00
D002 	test2 	nu 		24 		2000.00
D001 	test1 	nam 		12 		1000.00
D002 	test2 	nu 		24 		2000.00
D001 	test1 	nam 		12 		1000.00
D002 	test2 	nu 		24 		2000.00
D001 	test1 	nam 		12 		1000.00
D002 	test2 	nu 		24 		2000.00
D001 	test1 	nam 		12 		1000.00
D002 	test2 	nu 		24 		2000.00
